VIRUS_ID,X,Y,OL,NEURON,UNKNOWN
1,1320,2012,1,,
2,1311,1982,1,,
3,1124,1879,1,,
4,981,1814,1,,
5,1128,1807,1,,
6,1123,1784,1,,
7,823,1768,1,,
8,1254,1759,1,,
9,1086,1726,1,,
10,1280,1733,1,,
11,1140,1698,1,,
12,684,1675,1,,
13,1239,1665,1,,
14,1168,1615,1,,
15,886,1606,1,,
16,1512,1587,1,,
17,1227,1537,1,,
18,1143,1529,1,,
19,1100,1547,1,,
20,1220,1513,1,,
21,1266,1498,1,,
22,1511,1511,1,,
23,1206,1488,1,,
24,1112,1490,1,,
25,1184,1478,1,,
26,1190,1452,1,,
27,787,1452,1,,
28,1383,1434,1,,
29,66,1428,1,,
30,1131,1385,1,,
31,1379,1377,1,,
32,1522,1369,1,,
33,1341,1347,1,,
34,1309,1327,1,,
35,1238,1305,1,,
36,1134,1294,1,,
37,744,1286,1,,
38,1325,1283,1,,
39,1115,1237,1,,
40,821,1236,1,,
41,1256,1230,1,,
42,1354,1226,1,,
43,1167,1225,1,,
44,1325,1228,1,,
45,1327,1196,1,,
46,1204,1220,1,,
47,1340,1180,1,,
48,1323,1155,1,,
49,1639,1157,1,,
50,1457,1149,1,,
51,1625,1128,1,,
52,1423,1143,1,,
53,1225,1136,1,,
54,1191,1133,1,,
55,1497,1129,1,,
56,1480,1123,1,,
57,1292,1108,1,,
58,1258,1152,1,,
59,1351,1097,1,,
60,1268,1079,1,,
61,1557,1082,1,,
62,1480,1090,1,,
63,1106,1058,1,,
64,589,1048,1,,
65,1232,1027,1,,
66,1348,1014,1,,
67,1374,1012,1,,
68,1332,993,1,,
69,726,982,1,,
70,1383,975,1,,
71,1874,977,1,,
72,766,931,1,,
73,1329,927,1,,
74,1366,886,1,,
75,1062,732,1,,
76,1073,654,1,,
77,1063,636,1,,
78,1100,620,1,,
79,1041,399,1,,
80,480,387,1,,
81,869,129,1,,
82,186,23,1,,
83,1326,1308,,1,
84,1199,1528,,,1
85,1257,1426,,,1
